Neuro;Extra;Open;Agree ;Con;VP
26;26;32;27;42;611
17;36;35;37;32;612
22;17;36;31;32;613
18;25;25;31;35;614
27;23;19;27;34;615
15;28;29;29;34;616
18;23;32;21;42;617
19;30;36;31;24;618
6;36;42;38;39;619
7;26;33;32;38;620
13;35;37;37;40;621
16;27;42;27;20;622
18;32;33;34;32;623
14;30;40;25;35;624
23;27;26;37;19;625
14;20;38;26;44;626
6;38;29;32;42;627
25;31;13;24;26;628
15;34;17;23;44;629
18;31;42;37;24;630
26;25;39;12;18;631
8;40;35;33;38;632
13;36;40;36;38;633
21;22;30;25;31;634
13;33;35;41;40;635
20;36;35;31;35;636
8;37;31;20;33;638
29;24;32;25;14;639
26;19;38;34;30;640
13;30;30;24;31;641
1;36;44;35;41;642
23;18;31;35;26;643
31;29;37;30;23;644
32;24;45;43;35;645
10;32;28;38;29;646
19;21;28;36;39;647
21;30;27;32;32;648
12;38;27;36;37;649
23;21;36;32;42;650
18;30;25;34;37;651
22;24;37;29;33;652
11;28;32;37;39;653
23;11;29;21;31;654
38;25;38;35;41;655
19;19;32;27;45;656
24;20;39;16;34;657
